dateTime,measure,value
2022-06-07T02:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ37_030-level-groundwater-i-1_h-m,0.479
2022-10-30T06:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48186-level-stage-i-15_min-m,-0.038
2022-10-31T06:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E22231-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.000
2022-11-01T11:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E5720-rainfall-tipping_bucket_raingauge-t-1_h-mm,0.000
2022-10-29T08:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ45_049-level-groundwater-i-1_h-m,9.689
2022-11-02T03:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/TA03NHCLCC-level-groundwater-i-15_min-mAOD,-2.26
2022-11-02T03:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/TA03NHSLRD-level-groundwater-i-15_min-mAOD,3.60
2022-11-03T07:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2481TH-level-stage-i-15_min-mASD,-2.988
2022-11-09T08:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E24302-level-stage-i-15_min-mASD,0.344
2022-11-10T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5300_w2TH-flow--i-15_min-m3_s,4.36
2022-11-10T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5300_w2TH-level-stage-i-15_min-mAOD,26.280
2022-11-10T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5300TH-flow--Mean-15_min-m3_s,4.36
2022-11-10T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5300_w1TH-flow--i-15_min-m3_s,0.00
2022-11-10T04:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5300_w1TH-level-stage-i-15_min-mAOD,26.688
2022-11-10T12:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/588006-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.6
2022-11-10T18:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/3422SO-level-stage-i-15_min-mASD,-0.005
2022-11-11T10:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/3307-temperature-dry_bulb-i-15_min-deg_C,52.4
2022-11-11T11:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2230TH-level-downstage-i-15_min-mASD,-0.045
2022-11-12T15:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/40301119-level-groundwater-i-1_h-mBDAT,22.046
2022-10-29T08:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/NY71_23-level-groundwater-i-1_h-m,2.419
2022-11-14T13:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E81356-level-stage-i-15_min-m,0.576
2022-11-17T13:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/1606-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0
2022-11-17T20:05:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/51129-level-stage-i-15_min-m,0.268
2022-11-18T02:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E21341-level-stage-i-15_min-m,1.033
2022-11-18T08:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/-level-stage-i-15_min-m,4.111
2022-11-18T09:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/F3105-level-stage-i-15_min-m,0.549
2022-11-18T11:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4091-flow--i-15_min-m3_s,3.750
2022-11-18T16:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2666-level-stage-i-15_min-mASD,0.263
2022-11-18T18:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E84409-level-stage-i-15_min-m,1.575
2022-11-21T00:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4692-level-stage-i-15_min-mASD,0.334
2022-11-21T10:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/-level--i-15_min-mAOD,43.125
2022-11-21T18:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/TL12_122-level-groundwater-i-1_h-mAOD,93.362
2022-11-22T06:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E22006-level-stage-i-15_min-mASD,0.182
2022-11-22T08:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E2765-flow-stage-i-15_min-m3_s,18.110
2022-11-22T06:55:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/38_BRENT_RES-level-stage-i-5_min-mASD,-1.000
2022-11-15T13:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ37_13-level-groundwater-i-1_h-m,42.897
2022-11-23T07:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ69_133-level-1-i-1_h-m,9.951
2022-11-23T07:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ69_133-level-groundwater-i-1_h-m,9.917
2022-11-22T07:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ56_90A-level-groundwater-i-1_h-m,0.162
2022-11-23T09:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E4874-level-groundwater-i-15_min-mAOD,5.587
2022-11-23T09:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/266474TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0
2022-11-23T10:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49115-level-stage-i-15_min-m,0.463
2022-11-23T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ38_78-level-groundwater-i-1_h-m,14.378
2022-11-23T14:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43103-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.000
2022-11-23T15:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/5364TH-level-downstage-i-15_min-mASD,10.400
2022-11-23T23:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/9416SO-level-groundwater-i-1_h-mAOD,55.262
2022-11-24T05:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/NY72_9-level-groundwater-i-1_h-m,8.246
2022-11-24T05:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SD40_137-level-groundwater-i-1_h-m,15.358
2022-11-24T08:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2071-level-stage-i-15_min-mASD,2.075
2022-11-24T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/0331TH-wind-stage-i-15_min-mASD,0.115
