stationReference,lat,long
1029TH,51.874767,-1.740083
E2043,52.845991,-0.100848
52119,50.976043,-2.793549
E21136,52.323618,-0.101287
2067,52.51274,-2.205945
48143,50.172659,-5.109416
720215,53.858854,-2.743276
E9250,50.965124,-0.323121
F1906,54.080705,-2.024779
E8266,51.038451,-0.100268
1771TH,51.571482,-1.449342
531118,51.521892,-2.521122
52207,51.083697,-2.586936
E1147,53.296901,-0.131922
E70039,52.473075,1.750085
E70024,52.47311,1.75011
693115,53.407591,-2.294665
690611,53.493682,-2.229815
E21720,52.151539,0.067146
2804TH,51.589297,-0.381167
2406TH,51.296962,-1.056426
4615TH,51.908463,-0.46427
43165,51.076527,-1.803528
2020,52.76777,-2.839715
3400TH,51.415005,-0.308869
L1931,53.944393,-1.886441
1090_w2TH,51.713499,-1.420988
44112,50.710758,-2.638832
023008,55.142955,-2.208614
690203,53.611067,-2.178685
4036,53.26962,-0.952008
46128,50.393426,-3.73051
4827TH,51.874477,-0.149495
055003_TG 316,52.061919,-2.659977
L2011,53.851542,-1.15762
L08015,53.536358,-1.366253
2206,51.746918,-2.217953
4161,52.574167,-1.035067
693426,53.289231,-2.148611
E72639,51.49999,-2.728468
E72624,51.5,-2.72847
730506,54.330571,-2.742287
53131,51.426965,-2.459703
43216,50.805852,-1.990007
45171,50.580497,-3.472207
4124,52.877141,-1.759128
E2901,53.022669,-0.746145
2095,52.247533,-1.793996
022014,55.344803,-2.122952
E21127,52.908305,0.504442
45134,50.782406,-3.496159
L1115,53.60958,-1.705229
E2790,53.550068,-0.501979
L3404,53.77033,-0.707786
067027_TG 127,53.134133,-2.871357
L2322,54.336432,-1.450586
2241TH,51.412847,-1.526019
760502,54.648336,-2.614388
E12442,50.990287,-1.335564
5380TH,51.574894,-0.043637
765045,54.885739,-2.937513
L2545,54.262449,-0.859287
F0815,53.526193,-1.473913
740101,54.341859,-3.218047
E4411,52.998853,-0.408576
531109,51.45411,-2.586653
L1203,53.697959,-1.873488
2870TH,51.56631,-0.483905
4435,52.948176,-1.183337
2642,52.206967,-2.235272
023036,54.904713,-2.265082
47140,50.697595,-4.509797
4064,53.498488,-0.664311
761659,54.651055,-2.743236
2011,52.255374,-2.193909
735225,54.352722,-2.940028
F2102,53.998678,-1.266199
720517,53.863761,-2.817872
5376TH,51.619051,0.008836
E21563,52.735281,1.480458
684027,53.234132,-2.827991
46119,50.31395,-3.800717
E8210,51.002867,-0.027718
L0307,53.326718,-1.328824
2896TH,51.43615,-0.514892
E60601,52.129553,-0.753104
53122,51.31742,-2.206553
3015TH,51.140148,-0.959908
E2062,52.401841,-0.5448
E4351,51.105167,0.948046
1681TH,51.683092,-1.268125
43207,51.049578,-2.276018
4115,53.166753,-1.164236
45162,50.752006,-3.454461
2086,52.177055,-2.28833
E2285,52.240918,-1.083171
E2900,51.415798,0.742491
E12470,51.0582,-1.308338
48125,50.156881,-5.432918
L2313,54.235258,-1.341973
L2907,54.466168,-0.944968
692423,53.42353,-2.141405
50197,51.196412,-4.120133
700306,53.607043,-2.793103
4203,53.009557,-1.190048
L1231,53.744763,-2.010569
